خودرو,تیپ,نوع رنگ,مدل,کارکرد,بیمه,گیربکس,موتور,شاسی,بدنه,عکس,قیمت,شهر
206,2,سفید,1397,110000,10,دنده ای,سالم,سالم و پلمپ,سالم و بی خط و خش,دارد,490000000,شیراز
206,2,نقره ای,1383,300000,6,دنده ای,سالم,سالم و پلمپ,سالم و بی خط و خش,دارد,242000000,شیراز
206,2,طلایی,1383,500000,3,دنده ای,سالم,سالم و پلمپ,سالم و بی خط و خش,دارد,240000000,شیراز
206,2,مشکی,1384,300000,5,دنده ای,سالم,سالم و پلمپ,سالم و بی خط و خش,دارد,238000000,شیراز
206,2,قرمز,1400,35000,4,دنده ای,سالم,سالم و پلمپ,سالم و بی خط و خش,دارد,590000000,شیراز
206,2,دلفینی,1388,340000,12,دنده ای,سالم,ضربه خورده,دور رنگ,دارد,282000000,شیراز
206,2,ابی,1390,370000,3,دنده ای,سالم,سالم و پلمپ,خط و خش جزئی,دارد,370000000,شیراز
206,2,نقره ای,1382,200000,3,دنده ای,سالم,ضربه خورده,دور رنگ,دارد,200000000,شیراز
206,2,سفید,1390,210000,10,دنده ای,تعویضی,ضربه خورده,خط و خش جزئی,دارد,405000000,شیراز
206,2,نوک مدادی,1388,260000,6,دنده ای,سالم,سالم و پلمپ,سالم و بی خط و خش,دارد,370000000,گیلان
206,2,سفید,1400,100000,7,دنده ای,سالم,سالم و پلمپ,سالم و بی خط و خش,دارد,580000000,گیلان
206,2,سفید,1394,75000,11,دنده ای,سالم,سالم و پلمپ,سالم و بی خط و خش,دارد,505000000,گیلان
206,2,سفید,1401,46000,12,دنده ای,سالم,سالم و پلمپ,سالم و بی خط و خش,دارد,650000000,گیلان
206,2,سفید,1389,32000,6,دنده ای,سالم,سالم و پلمپ,خط و خش جزئی,دارد,395000000,گیلان
206,2,سفید,1400,53000,3,دنده ای,سالم,سالم و پلمپ,سالم و بی خط و خش,دارد,590000000,گیلان
206,2,نوک مدادی,1386,300000,6,دنده ای,سالم,سالم و پلمپ,سالم و بی خط و خش,دارد,310000000,گیلان
206,2,سفید,1390,285000,6,دنده ای,سالم,سالم و پلمپ,سالم و بی خط و خش,دارد,448000000,گیلان
206,2,سفید,1389,240000,7,دنده ای,سالم,,سالم و بی خط و خش,دارد,357000000,گیلان
206,2,سفید,1388,293000,6,دنده ای,سالم,سالم و پلمپ,دور رنگ,دارد,345000000,گیلان
206,2,سفید,1400,65000,10,دنده ای,سالم,سالم و پلمپ,خط و خش جزئی,دارد,640000000,اصفهان
206,2,مشکی,1384,235000,4,دنده ای,سالم,سالم و پلمپ,دور رنگ,دارد,225000000,اصفهان
206,2,نقره ای,1383,245000,11,دنده ای,سالم,سالم و پلمپ,دور رنگ,دارد,245000000,اصفهان
206,2,سفید,1387,100000,8,دنده ای,سالم,سالم و پلمپ,خط و خش جزئی,دارد,400000000,اصفهان
206,2,سفید,1391,200000,3,دنده ای,سالم,ضربه خورده,تمام رنگ,دارد,320000000,اصفهان
206,2,سفید,1388,230000,2,دنده ای,سالم,سالم و پلمپ,خط و خش جزئی,دارد,365000000,اصفهان
206,2,بژ,1383,400000,5,دنده ای,سالم,سالم و پلمپ,رنگ شدگی در 1 ناحیه,دارد,247000000,اصفهان
206,2,مشکی,1389,246000,4,دنده ای,سالم,سالم و پلمپ,خط و خش جزئی,دارد,370000000,اصفهان
206,2,سفید,1398,164000,10,دنده ای,سالم,سالم و پلمپ,خط و خش جزئی,دارد,520000000,اصفهان
206,2,سفید,1401,130000,4,دنده ای,سالم,سالم و پلمپ,سالم و بی خط و خش,دارد,720000000,اصفهان
206,2,سفید,1392,110000,8,دنده ای,تعویضی,ضربه خورده,دور رنگ,دارد,490000000,شیراز
206,2,نقره ای,1391,300000,6,دنده ای,سالم,سالم و پلمپ,سالم و بی خط و خش,دارد,242000000,شیراز
206,2,مشکی,1383,510000,5,دنده ای,سالم,ضربه خورده,رنگ شدگی در 5 ناحیه ,دارد,220000000,شیراز
206,2,سفید,1384,300000,6,دنده ای,تعویضی,سالم و پلمپ,رنگ شدگی در 2 ناحیه,دارد,238000000,شیراز
206,2,قرمز,1401,35000,4,دنده ای,سالم,سالم و پلمپ,سالم و بی خط و خش,دارد,590000000,شیراز
206,2,مشکی,1388,360000,8,دنده ای,سالم,ضربه خورده,دور رنگ,ندارد,264000000,شیراز
206,2,سفید,1384,370000,4,دنده ای,سالم,سالم و پلمپ,خط و خش جزئی,دارد,240000000,شیراز
206,2,نقره ای,1392,200000,2,دنده ای,تعویضی,ضربه خورده,دور رنگ,دارد,220000000,شیراز
206,2,سفید,1380,140000,11,دنده ای,تعویضی,سالم و پلمپ,سالم و بی خط و خش,دارد,185000000,شیراز
206,2,آبی,1386,80000,8,دنده ای,سالم,سالم و پلمپ,دور رنگ,ندارد,265000000,شیراز
206,2,سفید,1399,75000,3,دنده ای,سالم,سالم و پلمپ,سالم و بی خط و خش,دارد,450000000,تهران
206,2,نقره,1398,82000,6,دنده ای,سالم,سالم و پلمپ,رنگ شدگی در 1 ناحیه,دارد,430000000,تهران
206,2,مشکی,1400,60000,1,دنده ای,سالم,سالم و پلمپ,سالم و بی خط و خش,دارد,470000000,تهران
206,2,خاکستری,1397,95000,12,دنده ای,سالم,سالم و پلمپ ,دور رنگ,دارد,410000000,تهران
206,2,آبی,1399,50000,8,دنده ای,سالم,سالم و پلمپ,سالم و بی خط و خش,دارد,480000000,تهران
206,2,قرمز,1396,105000,5,دنده ای,سالم,سالم و پلمپ,خط و خش جزئی,دارد,395000000,تهران
206,2,نقره,1398,87000,4,دنده ای,سالم,سالم و پلمپ,سالم و بی خط و خش,دارد,420000000,تهران
206,2,سفید,1401,30000,10,دنده ای,سالم,سالم و پلمپ,سالم و بی خط و خش,دارد,510000000,تهران
206,2,مشکی,1395,120000,2,دنده ای,سالم,سالم و پلمپ,دور رنگ,دارد,385000000,تهران
206,2,خاکستری,1397,98000,7,دنده ای,تعویضی,سالم و پلمپ,سالم و بی خط و خش,دارد,405000000,تهران
206,2,سفید,1391,216000,6,دنده ای,سالم,سالم و پلمپ,سالم و بی خط و خش,دارد,414000000,کرج
206,2,سفید,1388,300000,6,دنده ای,سالم,سالم و پلمپ,رنگ شدگی در 2 ناحیه,دارد,305000000,کرج
206,2,سفید,1397,130000,5,دنده ای,سالم,سالم و پلمپ,خط و خش جزئی,دارد,480000000,کرج
206,2,سفید,1396,147000,5,دنده ای,سالم,سالم و پلمپ,رنگ شدگی در 3 ناحیه,دارد,455000000,کرج
206,2,مشکی,1388,313000,12,دنده ای,سالم,سالم و پلمپ,سالم و بی خط و خش,دارد,395000000,کرج
206,2,مشکی,1381,500000,6,دنده ای,سالم,سالم و پلمپ,دور رنگ,دارد,195000000,کرج
206,2,بژ,1384,319000,11,دنده ای,سالم,سالم و پلمپ,دور رنگ,دارد,277000000,کرج
206,2,نوک مدادی,1394,150000,10,دنده ای,سالم,سالم و پلمپ,سالم و بی خط و خش,دارد,423000000,کرج
206,2,آبی,1395,126000,4,دنده ای,سالم,سالم و پلمپ,سالم و بی خط و خش,دارد,445000000,کرج
206,2,قرمز,1383,229000,10,دنده ای,سالم,سالم و پلمپ,سالم و بی خط و خش,دارد,245000000,کرج
206,2,سفید,1388,288000,12,دنده,سالم,سالم و پلمپ,سالم و بی خط و خش,دارد,355000000,گیلان
206,2,سفید,1389,210000,6,دنده,سالم,سالم و پلمپ,خط و خش جزئی,دارد,390000000,گیلان
206,2,دلفینی,1386,410000,1,دنده,سالم,سالم و پلمپ,رنگ ,دارد,320000000,گیلان
206,2,نفره ای,1388,160000,1,دنده,سالم,سالم و پلمپ,تصادفی,دارد,178000000,گیلان
206,2,سفید,1395,157000,7,دنده,سالم,سالم و پلمپ,سالم و بی خط و خش,دارد,485000000,گیلان
